Name,Identifier,E.C.,GPR,Reversible,Flux Lower Bound,Flux Upper Bound,bigg.reaction,kegg.reaction,metanetx.reaction,reactome
R_HMR_3933,R_HMR_3933,1.1.1.284,(ENSG00000197894),TRUE,-1000,1000,r1378,R06983,MNXR105463 || MNXR99237,
R_HMR_3935,R_HMR_3935,4.4.1.22,(ENSG00000117305),TRUE,-1000,1000,r1377,R06982,MNXR105462 || MNXR99239,
Vesicular Transport,R_r1367,,,FALSE,0,1000,r1367,,MNXR97504,
Vesicular Transport,R_r1364,,,FALSE,0,1000,r1364,,MNXR101110,
Transport Reaction,R_r1318,2.3.1.15,,TRUE,-1000,1000,r1318,,MNXR105455,
Vesicular Transport,R_r1303,3.1.1.13,,FALSE,0,1000,r1303,,MNXR99102,
Vesicular Transport,R_r1301,3.1.1.13,,FALSE,0,1000,r1301,,MNXR99110,
Vesicular Transport,R_r1298,3.1.1.13,,FALSE,0,1000,r1298,,MNXR101114,
Long-Chain-Fatty-Acid---Coa Ligase,R_r1259,6.2.1.3,(ENSG00000068366) or (ENSG00000151726) or (ENSG00000140284) or (ENSG00000197142) or (ENSG00000164398) or (ENSG00000123983) or (ENSG00000130377),FALSE,0,1000,r1259,,MNXR105453,
Long-Chain-Fatty-Acid---Coa Ligase,R_r1253,6.2.1.3,(ENSG00000068366) or (ENSG00000151726) or (ENSG00000140284) or (ENSG00000197142) or (ENSG00000164398) or (ENSG00000123983) or (ENSG00000130377),FALSE,0,1000,r1253,,,
Long-Chain-Fatty-Acid---Coa Ligase,R_r1252,6.2.1.3,(ENSG00000068366) or (ENSG00000151726) or (ENSG00000140284) or (ENSG00000197142) or (ENSG00000164398) or (ENSG00000123983) or (ENSG00000130377),FALSE,0,1000,r1252,,MNXR105452,
Long-Chain-Fatty-Acid---Coa Ligase,R_r1251,6.2.1.3,(ENSG00000068366) or (ENSG00000151726) or (ENSG00000140284) or (ENSG00000197142) or (ENSG00000164398) or (ENSG00000123983) or (ENSG00000130377),FALSE,0,1000,r1251,,MNXR105452,
Sterol O-Acyltransferase,R_r1165,2.3.1.26,(ENSG00000057252) or (ENSG00000167780),FALSE,0,1000,r1165,,MNXR105439,
Active Transport,R_r1162,4.1.3.6,,FALSE,0,1000,r1162,,MNXR105437,
R_HMR_5348,R_HMR_5348,,(ENSG00000108932) or (ENSG00000141526) or (ENSG00000100156) or (ENSG00000155380) or (ENSG00000170190) or (ENSG00000168679) or (ENSG00000118596),FALSE,0,1000,r1155,,MNXR94813,
Biosynthesis of Steroids Enzyme Catalyzed,R_r1146,,,FALSE,0,1000,r1146,,,
R_HMR_5328,R_HMR_5328,,(ENSG00000178537) or (ENSG00000110436) or (ENSG00000079215) or (ENSG00000105143) or (ENSG00000106688),FALSE,0,1000,r1143,,MNXR96086,
Hydroxysteroid (17-Beta) Dehydrogenase 7,R_r1135,1.1.1.270,(ENSG00000132196),TRUE,-1000,1000,r1135,,,
Methylsterol Monooxygenase,R_r1134,1.14.13.72,,FALSE,0,1000,r1134,,,
Vesicular Transport,R_r1078,,,FALSE,0,1000,r1078,,MNXR105002,
Vesicular Transport,R_r1029,,,FALSE,0,1000,r1029,,MNXR105431,
Active Transport,R_r1024,,,FALSE,0,1000,r1024,,MNXR105427,
Vesicular Transport,R_r1017,,,FALSE,0,1000,r1017,,MNXR104744,
Postulated Transport Reaction,R_r1014,,,FALSE,0,1000,r1014,,MNXR105424,
Postulated Transport Reaction,R_r1012,,,FALSE,0,1000,r1012,,MNXR105423,
Facilitated Diffusion,R_r1008,,,FALSE,0,1000,r1008,,MNXR105421,
Facilitated Diffusion,R_r1003,,,FALSE,0,1000,r1003,,MNXR105419,
Facilitated Diffusion,R_r0999,,,TRUE,-1000,1000,r0999,,MNXR105417,
Facilitated Diffusion,R_r0994,,,TRUE,-1000,1000,r0994,,MNXR105415,
ATP-Binding Cassette (ABC) Tcdb:3.A.1.208.2,R_r0993,,(ENSG00000023839),FALSE,0,1000,r0993,,MNXR105414,
Postulated Transport Reaction,R_r0989,,,TRUE,-1000,1000,r0989,,MNXR105412,
Postulated Transport Reaction,R_r0988,,,FALSE,0,1000,r0988,,MNXR101014,
Vesicular Transport,R_r0986,,,FALSE,0,1000,r0986,,MNXR101107,
"Solute Carrier Family 27 (Fatty Acid Transporter), Member 5 Tcdb:4.C.1.1.5 Tcdb:4.C.1.1.8",R_r0983,,(ENSG00000083807),FALSE,0,1000,r0983,,MNXR104604,
R_HMR_1443,R_HMR_1443,,(ENSG00000155380),TRUE,-1000,1000,r0954,,MNXR105406,
Mitochondrial Carrier (Mc) Tcdb:2.A.29.19.1,R_r0947,,(ENSG00000120329),FALSE,0,1000,r0947,,MNXR105405,
Amino Acid-Polyamine-Organocation (Apc) Tcdb:2.A.3.8.15,R_r0946,,(ENSG00000021488),TRUE,-1000,1000,r0946,,MNXR105405,
Free Diffusion,R_r0941,,,TRUE,-1000,1000,r0941,,MNXR100484,
Transport Reaction,R_r0936,,,FALSE,0,1000,r0936,,,
Transport Reaction,R_r0931,,,FALSE,0,1000,r0931,,MNXR95918,
Free Diffusion,R_r0927,,,FALSE,0,1000,r0927,,,
ATP-Binding Cassette (ABC) Tcdb:3.A.1.204.5,R_r0924,,(ENSG00000138075 and ENSG00000143921),FALSE,0,1000,r0924,,MNXR96713,
Mitochondrial Carrier (Mc) Tcdb:2.A.29.7.2,R_r0915,,(ENSG00000100075),TRUE,-1000,1000,r0915,,MNXR96752,
R_HMR_4908,R_HMR_4908,,(ENSG00000103024) or (ENSG00000155085) or (ENSG00000143156) or (ENSG00000112981) or (ENSG00000103202) or (ENSG00000239672) or (ENSG00000243678) or (ENSG00000172113) or (ENSG00000011052),TRUE,-1000,1000,r0860,R00124,MNXR96123,
Lanosterol D24-Reductase,R_r0783,1.3.1.72,(ENSG00000116133),TRUE,-1000,1000,r0783,,MNXR96690,
R_HMR_3755,R_HMR_3755,3.1.2.4,(ENSG00000198130),FALSE,0,1000,r0779,R03352,MNXR108112,
Uroporphyrinogen I Carboxy-Lyase,R_r0774,4.1.1.37,(ENSG00000126088),TRUE,-1000,1000,r0774,,MNXR105381,
3-Methoxy-4-Hydroxyphenylglycolaldehyde:NADP+ Oxidoreductase Tyrosine Metabolism,R_r0757,1.2.1.5,(ENSG00000006534) or (ENSG00000132746) or (ENSG00000184254) or (ENSG00000108602),FALSE,0,1000,r0757,,MNXR94929,
3-Methoxy-4-Hydroxyphenylglycolaldehyde:NAD+ Oxidoreductase Tyrosine Metabolism,R_r0756,1.2.1.5,(ENSG00000006534) or (ENSG00000132746) or (ENSG00000184254) or (ENSG00000108602),TRUE,-1000,1000,r0756,,MNXR94928,
3-Methoxy-4-Hydroxyphenylacetaldehyde:NADP+ Oxidoreductase Tyrosine Metabolism,R_r0755,1.2.1.5,(ENSG00000006534) or (ENSG00000132746) or (ENSG00000184254) or (ENSG00000108602),FALSE,0,1000,r0755,,MNXR105380,
3-Methoxy-4-Hydroxyphenylacetaldehyde:NAD+ Oxidoreductase Tyrosine Metabolism,R_r0754,1.2.1.5,(ENSG00000006534) or (ENSG00000132746) or (ENSG00000184254) or (ENSG00000108602),TRUE,-1000,1000,r0754,,MNXR94912,
"3, 4-Dihydroxymandelaldehyde:NADP+ Oxidoreductase Tyrosine Metabolism",R_r0753,1.2.1.5,(ENSG00000006534) or (ENSG00000132746) or (ENSG00000184254) or (ENSG00000108602),FALSE,0,1000,r0753,,MNXR94841,
"3, 4-Dihydroxymandelaldehyde:NAD+ Oxidoreductase Tyrosine Metabolism",R_r0752,1.2.1.5,(ENSG00000006534) or (ENSG00000132746) or (ENSG00000184254) or (ENSG00000108602),TRUE,-1000,1000,r0752,,MNXR94840,
"2-Amino-4-Hydroxy-6- (Erythro-1, 2, 3-Trihydroxypropyl) Dihydropteridine Triphosphate Phosphohydrolase (Alkaline Optimum)",R_r0707,3.1.3.1,(ENSG00000162551),TRUE,-1000,1000,r0707,,MNXR95665,
"Cholest-5-Ene-3Beta, 7Alpha-Diol:NAD+ 3-Oxidoreductase Bile Acid Biosynthesis",R_r0672,1.1.1.181,(ENSG00000099377),TRUE,-1000,1000,r0672,,MNXR105366,
Trans-Tetradec-2-Enoyl Coenzyme A Reductase,R_r0652,1.3.1.38,(ENSG00000116353) or (ENSG00000115425),TRUE,-1000,1000,r0652,,MNXR105364,
R_HMR_3790,R_HMR_3790,1.2.3.1,(ENSG00000138356),FALSE,0,1000,r0644,R03871,MNXR105359 || MNXR108490,
R_HMR_3759,R_HMR_3759,1.2.1.3;1.2.3.1,(ENSG00000072210) or (ENSG00000164904) or (ENSG00000143149) or (ENSG00000138356) or (ENSG00000111275) or (ENSG00000137124),FALSE,0,1000,r0643,R03869,MNXR105358 || MNXR95762,
Trans-Oct-2-Enoyl Coenzyme A Reductase,R_r0633,1.3.1.38,(ENSG00000116353) or (ENSG00000115425),TRUE,-1000,1000,r0633,,,
Presqualene Diphosphate:Farnesyl-Diphosphate Farnesyltransferase,R_r0575,2.5.1.21,(ENSG00000079459),TRUE,-1000,1000,r0575,,,
(S)-Methylmalonyl Coenzyme A Hydrolase,R_r0571,3.1.2.17,,TRUE,-1000,1000,r0571,,MNXR105351,
R_HMR_3763,R_HMR_3763,3.1.2.17;1.2.1.18,(ENSG00000119711),FALSE,0,1000,r0571,R02764,MNXR105351,
R_HMR_4667,R_HMR_4667,1.5.1.9,(ENSG00000008311) or (ENSG00000143653),FALSE,0,1000,r0525,R02313,MNXR105347,
"Steroyl Coenzyme A, Hydrogen-Donor:Oxygen Oxidoreductase Polyunsaturated Fatty Acid Biosynthesis",R_r0511,1.14.19.1,(ENSG00000145284) or (ENSG00000099194),FALSE,0,1000,r0511,,,
"Steroyl Coenzyme A, Hydrogen-Donor:Oxygen Oxidoreductase Polyunsaturated Fatty Acid Biosynthesis",R_r0510,1.14.19.1,(ENSG00000145284) or (ENSG00000099194),FALSE,0,1000,r0510,,,
R_HMR_4652,R_HMR_4652,1.3.5.1,(ENSG00000143252 and ENSG00000073578 and ENSG00000204370 and ENSG00000117118),TRUE,-1000,1000,r0509,R02164,MNXR107340,
DTTP Nucleotidohydrolase,R_r0497,3.6.1.39,(ENSG00000188833) or (ENSG00000168032) or (ENSG00000138185),TRUE,-1000,1000,r0497,,MNXR102048,
DTDP Diphosphohydrolase,R_r0494,3.6.1.5,(ENSG00000188833) or (ENSG00000168032) or (ENSG00000138185),TRUE,-1000,1000,r0494,,MNXR97807,
Palmitoyl Coenzyme A:L-Carnitine O-Palmitoyltransferase,R_r0443,2.3.1.21,(ENSG00000110090 and ENSG00000157184),FALSE,0,1000,r0443,,MNXR96400,
Palmitoyl Coenzyme A:L-Carnitine O-Palmitoyltransferase,R_r0440,2.3.1.21,(ENSG00000110090 and ENSG00000157184),FALSE,0,1000,r0440,,MNXR101105,
Palmitoyl Coenzyme A:L-Carnitine O-Palmitoyltransferase,R_r0437,2.3.1.21,(ENSG00000110090 and ENSG00000157184),TRUE,-1000,1000,r0437,,MNXR96384,
2-Deoxyguanosine 5-Triphosphate Pyrophosphohydrolase,R_r0410,3.6.1.19,(ENSG00000125877),TRUE,-1000,1000,r0410,,MNXR102049,
"L-Tryptophan, Tetrahydrobiopterin:Oxygen Oxidoreductase (5-Hydroxylating)",R_r0403,1.14.16.4,(ENSG00000139287) or (ENSG00000129167),FALSE,0,1000,r0403,,,
Palmitoyl Coenzyme A:Oxygen 2-Oxidoreductase,R_r0310,1.3.99.3,(ENSG00000117054) or (ENSG00000115361) or (ENSG00000072778) or (ENSG00000087008) or (ENSG00000161533),FALSE,0,1000,r0310,,,
L-Cysteine L-Homocysteine-Lyase (Deaminating),R_r0193,4.4.1.1,(ENSG00000116761),TRUE,-1000,1000,r0193,,MNXR105313,
Farnesyl-Diphosphate:Farnesyl-Diphosphate Farnesyltransferase,R_r0170,2.5.1.21,(ENSG00000079459),TRUE,-1000,1000,r0170,,,
"L-Arginine, NADPH:Oxygen Oxidoreductase (Nitric-Oxide-Forming)",R_r0145,1.14.13.39,(ENSG00000164867) or (ENSG00000089250) or (ENSG00000007171),FALSE,0,1000,r0145,,,
UDPglucose Pyrophosphohydrolase,R_r0093,3.6.1.45,(ENSG00000154269) or (ENSG00000197594),FALSE,0,1000,r0093,,MNXR105070,
Transport of Ubiquinone into Mitochondria,R_q10tm,,,TRUE,-1000,1000,q10tm,,MNXR97066,
Transport of Ubiquinol into Cytosol,R_q10h2tc,,,TRUE,-1000,1000,q10h2tc,,MNXR103390,
Transport of Phenylacetate by Diffusion,R_pac,,,TRUE,-1000,1000,pac,,,
R_HMR_1570,R_HMR_1570,1.3.1.72,(ENSG00000116133),FALSE,0,1000,ZYMSTR,R07498,MNXR105284,
R_HMR_7252,R_HMR_7252,,,FALSE,0,1000,XYLtly,,MNXR105270,
R_HMR_8867,R_HMR_8867,,(ENSG00000059804),TRUE,-1000,1000,XYLt,,MNXR105270,
R_HMR_4590,R_HMR_4590,1.1.1.10,(ENSG00000169738),FALSE,0,1000,XYLUR,R01904,MNXR105265,
Assumed Passive Diffusion into Extracellular Space,R_XYLULte,,,TRUE,-1000,1000,XYLULte,,,
Assumed Passive Diffusion into Extracellular Space,R_XYLUDte,,,TRUE,-1000,1000,XYLUDte,,,
R_HMR_7253,R_HMR_7253,,,TRUE,-1000,1000,XYLTt,,MNXR105264,
R_HMR_7200,R_HMR_7200,2.4.2.26,(ENSG00000103489) or (ENSG00000015532),FALSE,0,1000,XYLTer,R05925,MNXR105263 || MNXR109949,
Transport of Xanthosine,R_XTSNtr,,,TRUE,-1000,1000,XTSNtr,,,
R_HMR_7201,R_HMR_7201,,,FALSE,0,1000,XSERtg,,MNXR105244,
R_HMR_1602,R_HMR_1602,,,TRUE,-1000,1000,XOLTRIOLtm,,MNXR105242 || MNXR125293,R-HSA-192010
R_HMR_1809,R_HMR_1809,,,TRUE,-1000,1000,XOLTRIOLtm,,MNXR105242,
27 Trihydroxy Cholesterol Transport,R_XOLTRI27te,,,TRUE,-1000,1000,XOLTRI27te,,MNXR105241,
27 Trihydroxy Cholesterol Transport,R_XOLTRI27tc,,,TRUE,-1000,1000,XOLTRI27tc,,MNXR105241,
25 Trihydroxy Cholesterol Transport,R_XOLTRI25te,6.2.1.7,,TRUE,-1000,1000,XOLTRI25te,,MNXR105240,
25 Trihydroxy Cholesterol Transport,R_XOLTRI25tc,6.2.1.7,,TRUE,-1000,1000,XOLTRI25tc,,MNXR105240,
24 Trihydroxy Cholesterol Transport,R_XOLTRI24te,6.2.1.7,,TRUE,-1000,1000,XOLTRI24te,,MNXR105239,
24 Trihydroxy Cholesterol Transport,R_XOLTRI24tc,6.2.1.7,,TRUE,-1000,1000,XOLTRI24tc,,MNXR105239,
Cholesterol Ester Transporter,R_XOLESTte,,,TRUE,-1000,1000,XOLESTte,,MNXR105238,
Cholesterol Ester Transporter,R_XOLEST2te,,,TRUE,-1000,1000,XOLEST2te,,MNXR105236,
"Intracellular Transport of Cholesteryl Docosahexanoate, Cholesterol-Ester (22:6, Delta 4, 7, 10, 13, 16, 19)",R_XOLEST226tl,,,TRUE,-1000,1000,XOLEST226tl,,,
"Transport of Cholesteryl Docosahexanoate, Cholesterol-Ester (22:6, Delta 4, 7, 10, 13, 16, 19)",R_XOLEST226_HSte,,,TRUE,-1000,1000,XOLEST226_HSte,,,
"Hydrolysis of Cholesteryl Docosahexanoate, Cholesterol-Ester (22:6, Delta 4, 7, 10, 13, 16, 19)",R_XOLEST226CEH,3.1.1.13,(ENSG00000170835) or (ENSG00000107798),FALSE,0,1000,XOLEST226CEH,,,
"Intracellular Transport of 1-Timnodnoyl-Cholesterol, Cholesterol-Ester (20:5, Delta 5, 8, 11, 14, 17)",R_XOLEST205tl,,,TRUE,-1000,1000,XOLEST205tl,,,
"Transport of 1-Timnodnoyl-Cholesterol, Cholesterol-Ester (20:5, Delta 5, 8, 11, 14, 17)",R_XOLEST205_HSte,,,TRUE,-1000,1000,XOLEST205_HSte,,,
"Hydrolysis of 1-Timnodnoyl-Cholesterol, Cholesterol-Ester (20:5, Delta 5, 8, 11, 14, 17)",R_XOLEST205CEH,3.1.1.13,(ENSG00000170835) or (ENSG00000107798),FALSE,0,1000,XOLEST205CEH,,,
"Intracellular Transport of 1-Gamma-Linolenoyl-Cholesterol, Cholesterol-Ester (18:3, Delta 6, 9, 12)",R_XOLEST183tl,,,TRUE,-1000,1000,XOLEST183tl,,,
"Transport of 1-Gamma-Linolenoyl-Cholesterol, Cholesterol-Ester (18:3, Delta 6, 9, 12)",R_XOLEST183te,,,TRUE,-1000,1000,XOLEST183te,,,
"Hydrolysis of 1-Gamma-Linolenoyl-Cholesterol, Cholesterol-Ester (18:3, Delta 6, 9, 12)",R_XOLEST183CEH,3.1.1.13,(ENSG00000170835) or (ENSG00000107798),FALSE,0,1000,XOLEST183CEH,,,
"Intracellular Transport of 1-Linoleoyl-Cholesterol, Cholesterol-Ester (18:2, Delta 9, 12)",R_XOLEST182tl,,,TRUE,-1000,1000,XOLEST182tl,,,
"Transport of 1-Gamma-Linolenoyl-Cholesterol, Cholesterol-Ester (18:2, Delta 9, 12)",R_XOLEST182_HSte,,,TRUE,-1000,1000,XOLEST182_HSte,,,
"Hydrolysis of 1-Linoleoyl-Cholesterol, Cholesterol-Ester (18:2, Delta 9, 12)",R_XOLEST182CEH,3.1.1.13,(ENSG00000170835) or (ENSG00000107798),FALSE,0,1000,XOLEST182CEH,,,
"Lipid, Flip-Flop Intracellular Transport",R_XOLDIOLONEtm,,,TRUE,-1000,1000,XOLDIOLONEtm,,MNXR105235,
R_HMR_1593,R_HMR_1593,,,TRUE,-1000,1000,XOLDIOLONEt,,MNXR105235,
"Transport of 7Alpha, 12Alpha-Dihydroxycholest-4-En-3-One, Active Transport",R_XOLDIOLONEATP,,(ENSG00000108846) or (ENSG00000073734) or (ENSG00000121270),FALSE,0,1000,XOLDIOLONEATP,,,
R_HMR_1672,R_HMR_1672,,,TRUE,-1000,1000,XOL7AONEtr,,MNXR105234,
"Transport of 7Alpha-Hydroxycholest-4-En-3-One, Sodium Symport",R_XOL7AONEt,,(ENSG00000100652),TRUE,-1000,1000,XOL7AONEt,,,
"Transport of 7Alpha-Hydroxycholest-4-En-3-One, Active Transport",R_XOL7AONEATP,,(ENSG00000108846) or (ENSG00000073734) or (ENSG00000121270),FALSE,0,1000,XOL7AONEATP,,,
"Transport of 5Beta-Cholestane-3Alpha, 7Alpha, 26-Triol, Sodium Symport",R_XOL7AH3t,,(ENSG00000100652),TRUE,-1000,1000,XOL7AH3t,,,
"Transport of 5Beta-Cholestane-3Alpha, 7Alpha, 26-Triol, Active Transport",R_XOL7AH3ATP,,(ENSG00000108846) or (ENSG00000073734) or (ENSG00000121270),FALSE,0,1000,XOL7AH3ATP,,,
"Lipid, Flip-Flop Intracellular Transport",R_XOL7AH2tr,,,TRUE,-1000,1000,XOL7AH2tr,,MNXR105233,
"Transport of 26-Hydroxycholesterol, Intracellular",R_XOL27OHtmc,,,TRUE,-1000,1000,XOL27OHtmc,,,
27 Hydroxy Cholesterol Transport,R_XOL27OHtm,,,TRUE,-1000,1000,XOL27OHtm,,MNXR105232,
"Transport of 26-Hydroxycholesterol, Extracellular Space, within Lipoproteins",R_XOL27OHte,,,FALSE,0,1000,XOL27OHte,,,
"Transport of 25-Hydroxycholesterol, Endoplasmatic Reticulum, within Lipoproteins",R_XOL25OHtr,,,FALSE,0,1000,XOL25OHtr,,,
"Transport of 25-Hydroxycholesterol, Extracellular Space, within Lipoproteins",R_XOL25OHte,,,FALSE,0,1000,XOL25OHte,,,
"Transport of (24S)-24-Hydroxycholesterol, Endoplasmatic Reticulum, within Lipoproteins",R_XOL24OHtr,,,FALSE,0,1000,XOL24OHtr,,,
"Transport of (24S)-24-Hydroxycholesterol, Extracellular Space, within Lipoproteins",R_XOL24OHte,,,FALSE,0,1000,XOL24OHte,,,
Transport of XMP,R_XMPtr,,,TRUE,-1000,1000,XMPtr,,,
R_HMR_4650,R_HMR_4650,1.17.3.2,(ENSG00000158125),FALSE,0,1000,XAOx,R02107,MNXR105228,
R_HMR_8755,R_HMR_8755,1.17.3.2,(ENSG00000158125),FALSE,0,1000,XAO2x,R01769,MNXR105229,
Transport of Xanthine,R_XANtr,,,TRUE,-1000,1000,XANt,,MNXR105226,
R_HMR_4648,R_HMR_4648,1.17.1.4,(ENSG00000158125),FALSE,0,1000,XANDp,R02103,MNXR105225,
R_HMR_8864,R_HMR_8864,,,TRUE,-1000,1000,WHTTDCAte,,MNXR105222,
Omega Hydroxy Testosterone Transport,R_WHTSTSTERONEtr,,,TRUE,-1000,1000,WHTSTSTERONEtr,,,
